DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-09-13 0:00,"38,100","38,600","37,850","38,350","7,923,269"
2006-09-14 0:00,"38,400","38,950","38,100","38,900","6,599,588"
2006-09-15 0:00,"38,850","39,350","38,500","39,100","4,998,537"
2006-09-18 0:00,"39,000","40,250","39,000","40,100","7,301,489"
2006-09-19 0:00,"40,200","40,300","39,750","39,900","3,880,846"
2006-09-20 0:00,"39,450","39,550","38,050","38,500","10,850,995"
2006-09-21 0:00,"39,000","39,150","37,850","38,150","6,597,914"
2006-09-22 0:00,"37,600","38,100","36,400","36,750","8,430,714"
2006-09-25 0:00,"36,550","37,500","36,550","36,950","6,695,668"
2006-09-26 0:00,"37,400","37,450","36,050","36,200","6,536,446"
2006-09-27 0:00,"37,000","37,100","36,250","36,300","6,744,334"
2006-09-28 0:00,"36,600","37,450","36,600","37,000","5,362,142"
2006-09-29 0:00,"37,200","37,650","36,900","37,300","3,886,480"
2006-10-02 0:00,"37,450","37,700","37,000","37,100","2,641,626"
2006-10-04 0:00,"36,800","37,450","36,100","36,500","4,915,087"
2006-10-09 0:00,"36,300","36,750","34,100","34,950","9,551,557"
2006-10-10 0:00,"34,800","35,550","34,800","35,050","6,030,713"
2006-10-11 0:00,"34,700","35,350","34,350","35,200","4,928,237"
2006-10-12 0:00,"35,200","35,900","34,850","35,850","4,066,172"
2006-10-13 0:00,"36,600","37,300","36,400","37,300","5,175,251"
2006-10-16 0:00,"37,700","38,150","37,150","37,300","5,476,640"
2006-10-17 0:00,"37,500","37,600","36,550","37,300","4,272,956"
2006-10-18 0:00,"36,950","37,450","36,450","37,350","3,868,978"
2006-10-19 0:00,"37,100","37,450","36,200","36,200","4,723,708"
2006-10-20 0:00,"36,200","36,450","35,900","36,100","6,110,405"
2006-10-23 0:00,"36,150","36,600","35,750","36,100","5,707,334"
2006-10-24 0:00,"36,400","36,800","35,800","36,000","5,780,357"
2006-10-25 0:00,"35,700","35,800","34,950","35,350","7,837,200"
2006-10-26 0:00,"35,700","35,900","35,050","35,550","7,359,368"
2006-10-27 0:00,"35,700","35,800","33,900","34,350","11,439,427"
2006-10-30 0:00,"33,700","33,900","33,200","33,300","8,110,194"
2006-10-31 0:00,"33,450","34,200","33,100","34,200","5,918,013"
2006-11-01 0:00,"34,300","34,450","34,050","34,050","4,500,012"
2006-11-02 0:00,"33,850","34,850","33,800","34,800","5,600,999"
2006-11-03 0:00,"34,750","34,800","33,600","33,700","6,289,428"
2006-11-06 0:00,"33,500","33,900","33,050","33,650","4,718,196"
2006-11-07 0:00,"34,150","34,350","33,800","34,000","4,629,830"
2006-11-08 0:00,"34,550","35,200","34,500","34,500","5,653,025"
2006-11-09 0:00,"34,700","34,950","34,100","34,700","4,721,786"
2006-11-10 0:00,"34,350","34,650","34,150","34,200","3,184,885"
2006-11-13 0:00,"34,450","35,200","34,450","35,100","4,926,680"
2006-11-14 0:00,"35,600","36,050","35,350","35,400","5,355,096"
2006-11-15 0:00,"36,050","36,200","35,750","36,000","4,885,944"
2006-11-16 0:00,"36,300","36,350","35,550","35,600","3,737,627"
2006-11-17 0:00,"35,600","35,900","35,450","35,850","2,590,574"
2006-11-20 0:00,"35,850","35,950","34,900","35,000","3,473,368"
2006-11-21 0:00,"34,900","35,300","34,750","34,950","2,328,910"
